Sorter,ArraySize,Duration,Array order
BubbleSortWhileNeeded,100,37213,Random
BubbleSortWhileNeeded,100,2912,Random
BubbleSortWhileNeeded,100,694,Random
BubbleSortWhileNeeded,100,686,Random
BubbleSortWhileNeeded,100,592,Random
BubbleSortWhileNeeded,100,572,Random
BubbleSortWhileNeeded,100,590,Random
BubbleSortWhileNeeded,100,630,Random
BubbleSortWhileNeeded,100,746,Random
BubbleSortWhileNeeded,100,790,Random
BubbleSortWhileNeeded,100,645,Random
BubbleSortWhileNeeded,100,612,Random
BubbleSortWhileNeeded,100,646,Random
BubbleSortWhileNeeded,100,662,Random
BubbleSortWhileNeeded,100,622,Random
BubbleSortWhileNeeded,100,605,Random
BubbleSortWhileNeeded,100,572,Random
BubbleSortWhileNeeded,100,592,Random
BubbleSortWhileNeeded,100,638,Random
BubbleSortWhileNeeded,100,619,Random
BubbleSortWhileNeeded,100,606,Random
BubbleSortWhileNeeded,100,625,Random
BubbleSortWhileNeeded,100,595,Random
BubbleSortWhileNeeded,100,576,Random
BubbleSortWhileNeeded,100,403,Random
BubbleSortWhileNeeded,100,382,Random
BubbleSortWhileNeeded,100,387,Random
BubbleSortWhileNeeded,100,359,Random
BubbleSortWhileNeeded,100,374,Random
BubbleSortWhileNeeded,100,597,Random
BubbleSortPassPerItem,100,102688,Random
BubbleSortPassPerItem,100,37772,Random
BubbleSortPassPerItem,100,21882,Random
BubbleSortPassPerItem,100,21501,Random
BubbleSortPassPerItem,100,39185,Random
BubbleSortPassPerItem,100,22184,Random
BubbleSortPassPerItem,100,22155,Random
BubbleSortPassPerItem,100,21933,Random
BubbleSortPassPerItem,100,21959,Random
BubbleSortPassPerItem,100,22157,Random
BubbleSortPassPerItem,100,21416,Random
BubbleSortPassPerItem,100,22268,Random
BubbleSortPassPerItem,100,21490,Random
BubbleSortPassPerItem,100,21578,Random
BubbleSortPassPerItem,100,21615,Random
BubbleSortPassPerItem,100,21497,Random
BubbleSortPassPerItem,100,21400,Random
BubbleSortPassPerItem,100,21919,Random
BubbleSortPassPerItem,100,21419,Random
BubbleSortPassPerItem,100,21571,Random
BubbleSortPassPerItem,100,21657,Random
BubbleSortPassPerItem,100,21596,Random
BubbleSortPassPerItem,100,22018,Random
BubbleSortPassPerItem,100,21645,Random
BubbleSortPassPerItem,100,31754,Random
BubbleSortPassPerItem,100,31574,Random
BubbleSortPassPerItem,100,20468,Random
BubbleSortPassPerItem,100,21010,Random
BubbleSortPassPerItem,100,21160,Random
BubbleSortPassPerItem,100,21191,Random
BubbleSortUntilNoChange,100,16704,Random
BubbleSortUntilNoChange,100,1134,Random
BubbleSortUntilNoChange,100,478,Random
BubbleSortUntilNoChange,100,539,Random
BubbleSortUntilNoChange,100,480,Random
BubbleSortUntilNoChange,100,432,Random
BubbleSortUntilNoChange,100,426,Random
BubbleSortUntilNoChange,100,439,Random
BubbleSortUntilNoChange,100,408,Random
BubbleSortUntilNoChange,100,418,Random
BubbleSortUntilNoChange,100,427,Random
BubbleSortUntilNoChange,100,396,Random
BubbleSortUntilNoChange,100,399,Random
BubbleSortUntilNoChange,100,1095,Random
